Mode: FUNC_078  Corner: FUNC_0.78V_SETUP
Scenario: FUNC_0.78V_SETUP
Constraint: max_capacitance

Category Summary
Category,VIOLATED
SRAM,16384
Power_Switch,88
Level_Shifter,2
BUF,5564
INV,62
mem,1116
others,464

Category,Type,Name,Required,Actual,Slack,Violation
SRAM,PIN,PIN: bit_secure_15_slice_4_nibble_1/O2[3],0.025,16.439,-16.414,VIOLATED
SRAM,NET,bit_secure_13_slice_6_t_din2piso[10],0.025,16.434,-16.409,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_6_nibble_1/O1[2],0.025,16.434,-16.409,VIOLATED
SRAM,NET,bit_secure_14_slice_28_t_din2piso[4],0.025,16.423,-16.398,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_28_nibble_0/O2[0],0.025,16.423,-16.398,VIOLATED
SRAM,NET,bit_secure_14_slice_28_t_din2piso[7],0.025,16.420,-16.395,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_28_nibble_0/O2[3],0.025,16.420,-16.395,VIOLATED
SRAM,NET,bit_secure_11_slice_30_t_din2piso[14],0.025,16.370,-16.345,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_30_nibble_1/O2[2],0.025,16.370,-16.345,VIOLATED
SRAM,NET,bit_secure_9_slice_21_t_din2piso[7],0.025,16.368,-16.343,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_21_nibble_0/O2[3],0.025,16.368,-16.343,VIOLATED
SRAM,NET,bit_secure_13_slice_6_t_din2piso[13],0.025,16.324,-16.299,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_6_nibble_1/O2[1],0.025,16.324,-16.299,VIOLATED
SRAM,NET,bit_secure_13_slice_31_t_din2piso[15],0.025,16.307,-16.282,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_31_nibble_1/O2[3],0.025,16.307,-16.282,VIOLATED
SRAM,NET,bit_secure_14_slice_13_t_din2piso[13],0.025,16.301,-16.276,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_13_nibble_1/O2[1],0.025,16.301,-16.276,VIOLATED
SRAM,NET,bit_secure_11_slice_15_t_din2piso[0],0.025,16.292,-16.267,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_15_nibble_0/O1[0],0.025,16.292,-16.267,VIOLATED
SRAM,NET,bit_secure_13_slice_31_t_din2piso[8],0.025,16.273,-16.248,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_31_nibble_1/O1[0],0.025,16.273,-16.248,VIOLATED
SRAM,NET,bit_secure_15_slice_4_t_din2piso[12],0.025,16.110,-16.085,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_4_nibble_1/O2[0],0.025,16.110,-16.085,VIOLATED
SRAM,NET,bit_secure_11_slice_20_t_din2piso[6],0.025,15.986,-15.961,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_20_nibble_0/O2[2],0.025,15.986,-15.961,VIOLATED
SRAM,NET,bit_secure_14_slice_28_t_din2piso[6],0.025,15.963,-15.938,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_28_nibble_0/O2[2],0.025,15.963,-15.938,VIOLATED
SRAM,NET,bit_secure_11_slice_30_t_din2piso[10],0.025,15.772,-15.747,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_30_nibble_1/O1[2],0.025,15.772,-15.747,VIOLATED
SRAM,NET,bit_secure_15_slice_21_t_din2piso[3],0.025,15.724,-15.699,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_21_nibble_0/O1[3],0.025,15.724,-15.699,VIOLATED
SRAM,NET,bit_secure_11_slice_30_t_din2piso[9],0.025,15.712,-15.687,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_30_nibble_1/O1[1],0.025,15.712,-15.687,VIOLATED
SRAM,NET,bit_secure_13_slice_31_t_din2piso[2],0.025,15.706,-15.681,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_31_nibble_0/O1[2],0.025,15.706,-15.681,VIOLATED
SRAM,NET,bit_secure_6_slice_27_t_din2piso[14],0.025,15.669,-15.644,VIOLATED
SRAM,PIN,PIN: bit_secure_6_slice_27_nibble_1/O2[2],0.025,15.669,-15.644,VIOLATED
SRAM,NET,bit_secure_13_slice_6_t_din2piso[5],0.025,15.668,-15.643,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_6_nibble_0/O2[1],0.025,15.668,-15.643,VIOLATED
SRAM,NET,bit_secure_14_slice_28_t_din2piso[12],0.025,15.662,-15.637,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_28_nibble_1/O2[0],0.025,15.662,-15.637,VIOLATED
SRAM,NET,bit_secure_15_slice_14_t_din2piso[1],0.025,15.659,-15.634,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_14_nibble_0/O1[1],0.025,15.659,-15.634,VIOLATED
SRAM,NET,bit_secure_13_slice_31_t_din2piso[13],0.025,15.638,-15.613,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_31_nibble_1/O2[1],0.025,15.638,-15.613,VIOLATED
SRAM,NET,bit_secure_15_slice_21_t_din2piso[0],0.025,15.624,-15.599,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_21_nibble_0/O1[0],0.025,15.624,-15.599,VIOLATED
SRAM,NET,bit_secure_13_slice_31_t_din2piso[5],0.025,15.617,-15.592,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_31_nibble_0/O2[1],0.025,15.617,-15.592,VIOLATED
SRAM,NET,bit_secure_6_slice_27_t_din2piso[13],0.025,15.607,-15.582,VIOLATED
SRAM,PIN,PIN: bit_secure_6_slice_27_nibble_1/O2[1],0.025,15.607,-15.582,VIOLATED
SRAM,NET,bit_secure_11_slice_28_t_din2piso[5],0.025,15.600,-15.575,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_28_nibble_0/O2[1],0.025,15.600,-15.575,VIOLATED
SRAM,NET,bit_secure_11_slice_28_t_din2piso[2],0.025,15.578,-15.553,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_28_nibble_0/O1[2],0.025,15.578,-15.553,VIOLATED
SRAM,NET,bit_secure_11_slice_30_t_din2piso[12],0.025,15.571,-15.546,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_30_nibble_1/O2[0],0.025,15.571,-15.546,VIOLATED
